source_data 40
20637513.5	4148514	3148.9
20636553.3	4148025.34	3005.39640266637
20637275.65	4148055.14	3577.9996212584
20637085.91	4147405.83	3250.00452517184
20638213.63	4148708.17	3283.29846399328
20637923.85	4148505.48	3359.30147910633
20636806.51	4148148.64	2982.69948623264
20636417.47	4146816.23	3223.00069625858
20636467.89	4147138.76	3200.99627651129
20636187.8	4148193.6	2851
20636643.87	4147933.19	2978.99511452827
20636085.69	4147546.16	2975.0031258685
20635857.58	4147230.31	3156.99799435238
20637556.74	4148022.83	3302.19774681045
20637738.56	4148286.93	3412.00190435767
20635790.26	4147628.93	3193.0995440515
20636854.24	4147878.57	3047.70021608517
20637364.28	4147792.05	3265.99935667639
20636502.12	4148164.84	2962.99508910653
20637008.24	4147120.47	3312.70210475603
20637186.4	4146831.3	3504.99766679012
20636558.33	4146628.78	3492.99974223784
20636546.71	4148192.5	3131.50442984922
20637079.61	4147559.89	3167.0028936363
20637391.82	4148198.78	3281.70309495354
20636190.36	4147919.23	2950.50199285248
20635816.91	4148280.47	2826.39801803446
20635847.47	4146744.85	3111.89632875847
20637775.93	4148100.27	3561.80186716931
20636644.06	4146911.44	3236.70314136126
20635373.13	4145916.85	3230.00290793529
20637713.38	4147666.17	3645.80553235222
20635073	4145873	3064.6
20635360.6	4146456.8	3023.13
20637513.5	4148514	3154.7
20635174.63	4147567.42	3478.20245159838
20637271.53	4148052.61	3587.29806614971
20638213.42	4148707.23	3289.39556246063
20637923.48	4148505.08	3366.25375323404
20636709.31	4148303.84	3020.9024402506
